,10%,20%,30%,40%,50%
blk1,0.6122425183762678,0.6046000251239533,0.5859542520212561,0.5805766847000411,0.5776472747956078
blk2,0.7728175814147918,0.8263488433506242,0.8443707699729848,0.8387369485165665,0.8305260828189218
blk3,0.11165814256349502,0.1304775069144702,0.15346988754970817,0.17434959432729535,0.19039379496808367
blk4,1.174057984076496,1.1557894812141503,1.139533090362697,1.1200053240075698,1.1005843527461978
blk5,1.0591877390424869,1.0416190315677778,1.0248306977823347,1.0048822306921352,1.004766163051815
blk6,0.08724412053792482,0.07381339319135799,0.06039341887288075,0.050937734597439874,0.05666260518360201
blk7,0.10172553388665571,0.08818161800964892,0.07410639499318128,0.07806575425985322,0.08175423340616714
blk8,1.341366145760009,1.3257558209157734,1.3105111214007936,1.3202657498325217,1.3253579096520214
blk9,0.3096004408721617,0.2999907586175268,0.2912188770540336,0.29477218532389043,0.2967916846058574
blk10,0.7985052379427788,0.8444284487333905,0.8833463366880433,0.8853198395132613,0.8855995360050717
blk11,0.6457153685055234,0.6494873987338508,0.6536015114564684,0.656654157067958,0.6592491050243251
blk12,0.7620158640283224,0.7642214970989227,0.7668333910520722,0.7677875480919897,0.7680237653497974
blk13,-0.5101383649804617,-0.5070805223585757,-0.503734510415902,-0.5013520832535405,-0.49938362398276076
blk14,1.5843542153985486,1.586772595317576,1.5895544109096629,1.590857592573407,1.5915223664816736
blk15,0.687899493866197,0.6912718474772432,0.6949096202263979,0.6978078610337121,0.7003934388379471
blk16,1.5194749150677573,1.521206617571572,1.5231615879864209,1.5242263638661573,1.5249075880379908
