,10%,20%,30%,40%,50%
blk1,0.6129361182662817,0.5979807246308481,0.5979807246308481,0.5979807246308481,0.5979807246308481
blk2,0.21011537105262496,0.201600475163252,0.201600475163252,0.201600475163252,0.201600475163252
blk3,-0.4834115582555776,-0.4403582330988785,-0.44248606556429576,-0.4446146298973417,-0.4467436929464076
blk4,0.5050242641610566,0.4998124835573857,0.49409156462384923,0.4882436675465787,0.48226467544438917
blk5,1.1637508341839047,1.1549344623673747,1.145162887793345,1.1346819853299772,1.1234175462078866
blk6,0.49930651494210104,0.4959201129351807,0.49232068736022333,0.4886085721075527,0.4795025098311107
blk7,0.3988349460502472,0.42435807559434463,0.4504638343290001,0.47725227466517406,0.4827570303856966
blk8,1.2503676420823728,1.2479195839789787,1.2453090589332,1.2426244404618048,1.2425589608245586
blk9,-0.22758693664971147,-0.22919033063436065,-0.23088749731575345,-0.2326292606317058,-0.2328556601618009
blk10,1.1157461235056212,1.1341398103182367,1.1529007501193607,1.1720853582396646,1.1933501795021977
blk11,1.1581631454855488,1.1647231659669912,1.1713431520621225,1.1780463389677136,1.1855441567417144
blk12,0.9496351071638085,0.9490682229841844,0.9484817923998451,0.9478898791506666,0.9476978479222197
blk13,-0.7521524774489358,-0.7498531372155695,-0.7475428061249585,-0.7452069915767032,-0.7424137096334298
blk14,1.7096075724504005,1.708606827418117,1.70757618945298,1.7065311537615477,1.705919955642002
blk15,0.34338041071839537,0.34409279608483456,0.3448126450378013,0.3455474109769126,0.34651118894515714
blk16,3.6881550417471725,3.688528182271359,3.688899650580733,3.68927456113872,3.689802637357845
