Reserve allocation ratio,CAGR (XIRR),MDD,Sortino Ratio
10%,0.10725214324289438,-0.6168522682798581,0.5941100058557307
20%,0.1063080319759086,-0.6118814185605754,0.5919854188530892
30%,0.10603865291039292,-0.6120914590974333,0.5917999765168106
40%,0.10576754880418737,-0.6123021208295691,0.5916090968444961
50%,0.1054946975303606,-0.6125134065168428,0.5914124355688107
