Period,Strategy,CAGR (XIRR),MDD,Sortino Ratio,Avg. Cash Weight,Trigger Count,Terminal Value
Full sample 1993-2026,Invest every contribution,0.10822681345134195,-0.6218565306030022,0.5962996643938481,0.0,26,3563683.3830020996
Full sample 1993-2026,"Cash reserve, 20 percent",0.1063080319759086,-0.6118814185605754,0.5919854188530892,0.03588971529152336,26,3413341.959733716
Full sample 1993-2026,"Static cash, matched average weight",0.10494834065244688,-0.6060199761474218,0.5916741512686762,0.035889715291520755,0,3310857.693218578
Excluded era 1993-2008,Invest every contribution,0.018736905756543278,-0.5663806573448901,0.08496075540799346,0.0,14,223113.88257322847
Excluded era 1993-2008,"Cash reserve, 20 percent",0.012863127940285126,-0.5559332448642171,0.05504428464657061,0.06854828597976469,14,212670.59194404594
Excluded era 1993-2008,"Static cash, matched average weight",0.019016388890237393,-0.549671482255006,0.07978890718616219,0.03656240501749143,0,223625.75242829853
Main-analysis era 2009-2026,Invest every contribution,0.15039928212732256,-0.32001980247784645,1.077025178761146,0.0,12,3563683.3830020996
Main-analysis era 2009-2026,"Cash reserve, 20 percent",0.14983860117776412,-0.31962155166432327,1.0848298240571004,0.006358407084854655,12,3413341.959733716
Main-analysis era 2009-2026,"Static cash, matched average weight",0.14505420995121948,-0.30876348263805653,1.072205777830364,0.03528143981569743,0,3310857.693218578
