Date,price
1993-01-29,24.113262176513672
1993-02-01,24.284757614135742
1993-02-02,24.336212158203125
1993-02-03,24.593473434448242
1993-02-04,24.696374893188477
1993-02-05,24.679229736328125
1993-02-08,24.679229736328125
1993-02-09,24.50771141052246
1993-02-10,24.542024612426758
1993-02-11,24.662063598632812
1993-02-12,24.47342300415039
1993-02-16,23.856014251708984
1993-02-17,23.838855743408203
1993-02-18,23.82169532775879
1993-02-19,23.907455444335938
1993-02-22,23.993209838867188
1993-02-23,23.97605323791504
1993-02-24,24.284757614135742
1993-02-25,24.336212158203125
1993-02-26,24.370512008666992
1993-03-01,24.301929473876953
1993-03-02,24.662063598632812
1993-03-03,24.764982223510742
1993-03-04,24.627777099609375
1993-03-05,24.55916404724121
1993-03-08,25.107959747314453
1993-03-09,25.02223014831543
1993-03-10,25.073673248291016
1993-03-11,25.005069732666016
1993-03-12,24.747812271118164
1993-03-15,24.867881774902344
1993-03-16,24.867881774902344
1993-03-17,24.713525772094727
1993-03-18,24.867881774902344
1993-03-19,24.830259323120117
1993-03-22,24.692380905151367
1993-03-23,24.744081497192383
1993-03-24,24.744081497192383
1993-03-25,24.899166107177734
1993-03-26,24.761316299438477
1993-03-29,24.864700317382812
1993-03-30,24.93362045288086
1993-03-31,24.916397094726562
1993-04-01,24.830259323120117
1993-04-02,24.313289642333984
1993-04-05,24.433923721313477
1993-04-06,24.36499786376953
1993-04-07,24.451162338256836
1993-04-08,24.41669273376465
1993-04-12,24.761316299438477
1993-04-13,24.813011169433594
1993-04-14,24.778532028198242
1993-04-15,24.778532028198242
1993-04-16,24.778532028198242
1993-04-19,24.675148010253906
1993-04-20,24.554533004760742
1993-04-21,24.53731346130371
1993-04-22,24.22714614868164
1993-04-23,24.12375259399414
1993-04-26,23.93421173095703
1993-04-27,24.19266700744629
1993-04-28,24.14100456237793
1993-04-29,24.24437713623047
1993-04-30,24.278837203979492
1993-05-03,24.433923721313477
1993-05-04,24.520078659057617
1993-05-05,24.58900260925293
1993-05-06,24.50283432006836
1993-05-07,24.451162338256836
1993-05-10,24.50283432006836
1993-05-11,24.606233596801758
1993-05-12,24.57176971435547
1993-05-13,24.278837203979492
1993-05-14,24.261606216430664
1993-05-17,24.347763061523438
1993-05-18,24.330530166625977
1993-05-19,24.830259323120117
1993-05-20,24.899166107177734
1993-05-21,24.675148010253906
1993-05-24,24.778532028198242
1993-05-25,24.830259323120117
1993-05-26,25.14040756225586
1993-05-27,25.054222106933594
1993-05-28,24.93362045288086
1993-06-01,25.174867630004883
1993-06-02,25.14040756225586
1993-06-03,25.054222106933594
1993-06-04,24.96807289123535
1993-06-07,24.88192367553711
1993-06-08,24.65792465209961
1993-06-09,24.744081497192383
1993-06-10,24.761316299438477
1993-06-11,24.864700317382812
1993-06-14,24.830259323120117
1993-06-15,24.778532028198242
1993-06-16,24.830259323120117
1993-06-17,24.916397094726562
1993-06-18,24.711210250854492
1993-06-21,24.763275146484375
1993-06-22,24.780628204345703
1993-06-23,24.555025100708008
1993-06-24,24.8847599029541
1993-06-25,24.867380142211914
1993-06-28,25.1450252532959
1993-06-29,25.023571014404297
1993-06-30,25.023571014404297
1993-07-01,24.954145431518555
1993-07-02,24.815340042114258
1993-07-06,24.555025100708008
1993-07-07,24.624446868896484
1993-07-08,24.902103424072266
1993-07-09,24.971511840820312
1993-07-12,24.954145431518555
1993-07-13,24.936800003051758
1993-07-14,25.023571014404297
1993-07-15,24.91944694519043
1993-07-16,24.850025177001953
1993-07-19,24.832687377929688
1993-07-20,24.902103424072266
1993-07-21,24.8847599029541
1993-07-22,24.711210250854492
1993-07-23,24.832687377929688
1993-07-26,24.971511840820312
1993-07-27,24.954145431518555
1993-07-28,24.902103424072266
1993-07-29,25.040918350219727
1993-07-30,24.902103424072266
1993-08-02,24.971511840820312
1993-08-03,24.988866806030273
1993-08-04,24.988866806030273
1993-08-05,24.936800003051758
1993-08-06,24.971511840820312
1993-08-09,25.110334396362305
1993-08-10,25.09298324584961
1993-08-11,25.09298324584961
1993-08-12,25.023571014404297
1993-08-13,25.058265686035156
1993-08-16,25.197105407714844
1993-08-17,25.283864974975586
1993-08-18,25.422700881958008
1993-08-19,25.422700881958008
1993-08-20,25.440053939819336
1993-08-23,25.387996673583984
1993-08-24,25.66564178466797
1993-08-25,25.683002471923828
1993-08-26,25.700347900390625
1993-08-27,25.683002471923828
1993-08-30,25.78712272644043
1993-08-31,25.856544494628906
1993-09-01,25.821823120117188
1993-09-02,25.735044479370117
1993-09-03,25.752408981323242
1993-09-07,25.578874588012695
1993-09-08,25.492109298706055
