Date,price
2009-01-02,1953.7176513671875
2009-01-05,2005.8880615234375
2009-01-06,2067.614990234375
2009-01-07,2047.6851806640625
2009-01-08,2001.122802734375
2009-01-09,1996.607666015625
2009-01-12,1993.996826171875
2009-01-13,1933.140869140625
2009-01-14,1860.9500732421875
2009-01-15,1822.2996826171875
2009-01-16,1884.405029296875
2009-01-19,1843.78857421875
2009-01-20,1808.3729248046875
2009-01-21,1784.5709228515625
2009-01-22,1768.2528076171875
2009-01-23,1740.738037109375
2009-01-26,1800.651123046875
2009-01-27,1848.424072265625
2009-01-28,1884.2861328125
2009-01-29,1841.8431396484375
2009-01-30,1839.500244140625
2009-02-02,1774.3480224609375
2009-02-03,1785.3851318359375
2009-02-04,1848.9893798828125
2009-02-05,1826.6468505859375
2009-02-06,1929.2210693359375
2009-02-09,1955.0179443359375
2009-02-10,1927.67236328125
2009-02-11,1887.87939453125
2009-02-12,1846.557861328125
2009-02-13,1846.2698974609375
2009-02-16,1821.4056396484375
2009-02-17,1791.5784912109375
2009-02-18,1784.531005859375
2009-02-19,1795.7572021484375
2009-02-20,1733.48193359375
2009-02-23,1727.1495361328125
2009-02-24,1682.7122802734375
2009-02-25,1681.034912109375
2009-02-26,1698.1064453125
2009-02-27,1647.326171875
2009-03-02,1641.39013671875
2009-03-03,1620.169189453125
2009-03-04,1657.5401611328125
2009-03-05,1654.204833984375
2009-03-06,1677.88720703125
2009-03-09,1633.479736328125
2009-03-10,1679.0592041015625
2009-03-11,1730.634033203125
2009-03-12,1735.5576171875
2009-03-13,1791.86669921875
2009-03-16,1788.987548828125
2009-03-17,1757.7015380859375
2009-03-18,1745.165283203125
2009-03-19,1855.4820556640625
2009-03-20,1886.3905029296875
2009-03-23,1947.9608154296875
2009-03-24,1914.4906005859375
2009-03-25,1928.158203125
2009-03-26,1914.2022705078125
2009-03-27,1869.7940673828125
2009-03-30,1805.4951171875
2009-03-31,1830.4989013671875
2009-04-01,1867.3331298828125
2009-04-02,1930.35205078125
2009-04-03,1911.909423828125
2009-04-06,1862.221435546875
2009-04-07,1839.7889404296875
2009-04-08,1834.845458984375
2009-04-09,1892.018310546875
2009-04-14,1935.1666259765625
2009-04-15,1925.9549560546875
2009-04-16,1885.85546875
2009-04-17,1874.093017578125
2009-04-20,1802.804931640625
2009-04-21,1772.3720703125
2009-04-23,1822.03125
2009-04-24,1856.4345703125
2009-04-28,1814.0506591796875
2009-04-30,1847.4713134765625
2009-05-04,1916.5147705078125
2009-05-05,1911.3941650390625
2009-05-06,1958.8099365234375
2009-05-07,1933.2803955078125
2009-05-08,1964.0009765625
2009-05-11,1966.462890625
2009-05-12,1975.8221435546875
2009-05-13,1914.550048828125
2009-05-14,1927.831298828125
2009-05-15,1955.9210205078125
2009-05-18,1980.5966796875
2009-05-19,2021.551025390625
2009-05-20,2047.6256103515625
2009-05-21,1983.7034912109375
2009-05-22,2024.5784912109375
2009-05-25,2021.809326171875
2009-05-26,2025.5211181640625
2009-05-27,2030.4544677734375
2009-05-28,2007.476318359375
2009-05-29,2053.720703125
2009-06-01,2128.12548828125
2009-06-02,2140.276123046875
2009-06-03,2080.462158203125
2009-06-04,2058.257568359375
2009-06-05,2086.6943359375
2009-06-08,2064.1630859375
2009-06-09,2072.958251953125
2009-06-10,2096.27197265625
2009-06-11,2072.77001953125
2009-06-12,2060.638427734375
2009-06-15,2031.5064697265625
2009-06-17,1966.4927978515625
2009-06-18,1987.8228759765625
2009-06-19,2011.9129638671875
2009-06-22,1961.6585693359375
2009-06-23,1952.6561279296875
2009-06-24,2007.0791015625
2009-06-25,1981.8876953125
2009-06-26,1995.118408203125
2009-06-29,1993.9073486328125
2009-06-30,1955.8319091796875
2009-07-01,2032.192138671875
2009-07-02,1978.7008056640625
2009-07-03,1984.1107177734375
2009-07-06,1928.6947021484375
2009-07-07,1950.42236328125
2009-07-08,1962.99853515625
2009-07-09,1974.59130859375
2009-07-10,1991.426025390625
2009-07-13,2007.23828125
2009-07-14,2052.3115234375
2009-07-15,2111.9765625
2009-07-16,2104.21142578125
2009-07-17,2108.839599609375
2009-07-20,2118.7451171875
2009-07-21,2138.964111328125
2009-07-22,2112.81884765625
2009-07-23,2141.454833984375
2009-07-24,2141.773193359375
2009-07-27,2139.9375
2009-07-28,2124.849365234375
2009-07-29,2108.82958984375
2009-07-30,2156.276123046875
2009-07-31,2169.33544921875
2009-08-03,2220.494140625
2009-08-04,2223.800537109375
2009-08-05,2231.085693359375
2009-08-06,2246.283203125
2009-08-07,2248.4462890625
2009-08-11,2211.37255859375
2009-08-12,2206.39013671875
2009-08-13,2246.035400390625
2009-08-14,2226.259765625
2009-08-17,2160.750732421875
2009-08-18,2172.56201171875
2009-08-19,2174.8369140625
2009-08-20,2206.370361328125
2009-08-21,2232.35791015625
2009-08-24,2268.943115234375
2009-08-25,2262.0048828125
2009-08-26,2253.92724609375
2009-08-27,2240.73291015625
2009-08-28,2261.925537109375
2009-08-31,2232.198486328125
2009-09-01,2221.686279296875
2009-09-02,2199.41259765625
2009-09-03,2206.99560546875
2009-09-04,2215.820068359375
2009-09-07,2247.989013671875
2009-09-08,2270.3037109375
2009-09-09,2253.698486328125
2009-09-10,2275.097412109375
2009-09-11,2294.373291015625
2009-09-14,2262.650390625
2009-09-15,2268.24853515625
2009-09-16,2302.2744140625
2009-09-17,2332.8271484375
2009-09-18,2301.819091796875
2009-09-21,2260.35986328125
2009-09-22,2269.221435546875
2009-09-23,2259.64306640625
2009-09-25,2216.931640625
2009-09-28,2222.92724609375
2009-09-29,2209.160400390625
2009-09-30,2211.829345703125
2009-10-01,2217.388916015625
2009-10-02,2175.997314453125
2009-10-05,2189.764892578125
2009-10-06,2223.066162109375
2009-10-07,2250.34130859375
2009-10-08,2271.473876953125
2009-10-09,2255.5419921875
2009-10-12,2280.061279296875
2009-10-13,2285.063232421875
2009-10-14,2323.3076171875
2009-10-15,2338.236328125
2009-10-16,2320.378173828125
2009-10-19,2361.0947265625
2009-10-20,2365.006591796875
2009-10-21,2377.71923828125
2009-10-22,2393.4638671875
2009-10-23,2398.643310546875
2009-10-26,2408.480712890625
2009-10-27,2371.229736328125
2009-10-28,2326.62109375
2009-10-29,2372.2822265625
2009-10-30,2351.159912109375
2009-11-02,2329.848388671875
2009-11-03,2298.024658203125
2009-11-04,2315.893310546875
2009-11-05,2315.604248046875
2009-11-06,2319.42626953125
2009-11-09,2358.315673828125
2009-11-10,2360.737060546875
2009-11-11,2387.150146484375
2009-11-12,2390.207275390625
2009-11-13,2392.519287109375
2009-11-16,2433.405029296875
2009-11-17,2448.482177734375
2009-11-18,2443.4599609375
2009-11-19,2429.851318359375
2009-11-20,2418.93212890625
2009-11-23,2466.576171875
2009-11-24,2461.61376953125
2009-11-25,2475.509765625
2009-11-26,2431.8359375
2009-11-27,2411.985107421875
2009-11-30,2421.91064453125
2009-12-01,2457.644775390625
2009-12-02,2473.525634765625
2009-12-03,2461.61376953125
2009-12-04,2471.2421875
2009-12-07,2449.028076171875
2009-12-08,2432.82958984375
2009-12-09,2409.79150390625
2009-12-10,2424.839599609375
2009-12-11,2443.142578125
2009-12-14,2454.66650390625
2009-12-15,2440.184814453125
2009-12-17,2441.334716796875
2009-12-18,2464.184326171875
2009-12-21,2479.618896484375
2009-12-22,2489.168212890625
2009-12-23,2485.953125
2009-12-24,2478.458251953125
2009-12-28,2507.55322265625
2009-12-29,2483.272216796875
2009-12-30,2463.480224609375
2009-12-31,2480.92919921875
2010-01-04,2506.219482421875
2010-01-05,2506.189453125
2010-01-06,2521.020263671875
2010-01-07,2516.19677734375
2010-01-08,2538.78759765625
2010-01-11,2551.701416015625
2010-01-12,2524.653564453125
2010-01-13,2527.472900390625
2010-01-14,2532.593994140625
2010-01-15,2509.7041015625
2010-01-18,2527.551513671875
2010-01-19,2525.952392578125
2010-01-20,2504.642578125
2010-01-21,2464.352783203125
2010-01-22,2425.048095703125
2010-01-25,2427.370361328125
2010-01-26,2387.8857421875
2010-01-27,2402.9423828125
2010-01-28,2399.756591796875
2010-01-29,2386.424560546875
2010-02-01,2370.08740234375
2010-02-02,2400.52001953125
2010-02-03,2409.06591796875
2010-02-04,2344.688232421875
2010-02-05,2294.10498046875
2010-02-08,2319.42626953125
2010-02-09,2360.21142578125
2010-02-10,2348.79736328125
2010-02-11,2347.41796875
2010-02-12,2339.37646484375
2010-02-15,2382.97265625
2010-02-16,2406.872314453125
2010-02-17,2429.31591796875
2010-02-18,2438.516845703125
2010-02-19,2416.997314453125
2010-02-22,2436.85888671875
2010-02-23,2412.83837890625
2010-02-24,2400.83740234375
2010-02-25,2379.66796875
2010-02-26,2381.521728515625
2010-03-01,2413.06689453125
2010-03-02,2446.228759765625
2010-03-03,2472.919189453125
2010-03-04,2478.814697265625
2010-03-05,2492.89111328125
2010-03-08,2513.230224609375
2010-03-09,2482.7666015625
2010-03-10,2506.985595703125
2010-03-11,2489.961669921875
2010-03-12,2525.84375
2010-03-15,2503.807861328125
2010-03-16,2524.78271484375
2010-03-17,2550.67822265625
2010-03-18,2577.597412109375
2010-03-19,2547.691650390625
2010-03-22,2577.746337890625
2010-03-23,2537.17919921875
2010-03-24,2532.902587890625
2010-03-25,2544.8525390625
2010-03-26,2548.138427734375
2010-03-29,2559.91064453125
2010-03-30,2564.31591796875
2010-03-31,2564.89208984375
2010-04-01,2597.459716796875
2010-04-06,2626.314208984375
2010-04-07,2612.954345703125
2010-04-08,2590.522216796875
2010-04-09,2622.6201171875
2010-04-12,2606.570556640625
2010-04-13,2579.513671875
2010-04-14,2634.474853515625
2010-04-15,2640.35986328125
2010-04-16,2591.701171875
2010-04-19,2564.25634765625
2010-04-20,2590.08447265625
2010-04-21,2580.6337890625
2010-04-22,2570.908447265625
2010-04-23,2581.439453125
2010-04-26,2620.210205078125
2010-04-28,2542.76611328125
2010-04-29,2562.559814453125
2010-04-30,2553.7666015625
2010-05-03,2551.09521484375
2010-05-04,2480.0869140625
2010-05-05,2453.156005859375
2010-05-06,2443.708740234375
2010-05-07,2352.10302734375
2010-05-10,2459.8779296875
2010-05-11,2444.412841796875
2010-05-12,2504.771484375
2010-05-13,2496.107666015625
2010-05-14,2427.70654296875
2010-05-17,2424.70068359375
2010-05-18,2450.0390625
2010-05-19,2410.853759765625
2010-05-20,2333.341552734375
2010-05-21,2329.0234375
2010-05-24,2379.2802734375
2010-05-25,2323.128662109375
2010-05-26,2406.364990234375
2010-05-27,2442.66455078125
2010-05-28,2414.714111328125
2010-05-31,2408.7978515625
2010-06-01,2428.381591796875
2010-06-02,2420.77880859375
2010-06-03,2410.348388671875
2010-06-04,2353.949462890625
2010-06-07,2320.259521484375
2010-06-08,2303.257568359375
2010-06-09,2365.34375
2010-06-10,2412.1533203125
2010-06-11,2382.634033203125
2010-06-14,2443.22216796875
2010-06-15,2464.611083984375
2010-06-16,2474.26025390625
2010-06-17,2468.34423828125
2010-06-18,2495.789306640625
2010-06-21,2484.3828125
2010-06-22,2474.736328125
2010-06-23,2444.482177734375
2010-06-24,2423.2802734375
2010-06-25,2408.362548828125
2010-06-28,2413.29541015625
2010-06-29,2355.7744140625
2010-06-30,2312.407470703125
2010-07-01,2290.006591796875
2010-07-02,2318.612060546875
2010-07-05,2305.50048828125
2010-07-06,2358.206298828125
2010-07-07,2371.11083984375
2010-07-08,2389.423095703125
2010-07-09,2410.656005859375
2010-07-12,2401.4736328125
2010-07-13,2431.092041015625
2010-07-14,2424.323486328125
2010-07-15,2422.74462890625
2010-07-16,2428.4111328125
2010-07-19,2408.440673828125
2010-07-20,2410.74462890625
2010-07-21,2458.357421875
2010-07-22,2500.395263671875
2010-07-23,2514.40869140625
2010-07-26,2519.331787109375
2010-07-27,2515.770751953125
